time,avg,max,med,min,q25,q75,std,num_peaks,peak_prominence,peak_distance,exercise,pace,sensor_type
2024-12-10 17:18:18,"0   -0.043236
Name: avg, dtype: float64","0    0.201387
Name: max, dtype: float64","0   -0.052147
Name: med, dtype: float64","0   -0.150532
Name: min, dtype: float64","0   -0.08715
Name: q25, dtype: float64","0   -0.015096
Name: q75, dtype: float64","0    0.067348
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:20,"0   -0.044389
Name: avg, dtype: float64","0    0.104206
Name: max, dtype: float64","0   -0.056365
Name: med, dtype: float64","0   -0.154748
Name: min, dtype: float64","0   -0.095937
Name: q25, dtype: float64","0    0.007134
Name: q75, dtype: float64","0    0.060755
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:22,"0   -0.009657
Name: avg, dtype: float64","0    0.140484
Name: max, dtype: float64","0   -0.001047
Name: med, dtype: float64","0   -0.141603
Name: min, dtype: float64","0   -0.050206
Name: q25, dtype: float64","0    0.022708
Name: q75, dtype: float64","0    0.06512
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:24,"0   -0.012195
Name: avg, dtype: float64","0    0.139785
Name: max, dtype: float64","0   -0.022267
Name: med, dtype: float64","0   -0.107647
Name: min, dtype: float64","0   -0.071042
Name: q25, dtype: float64","0    0.042437
Name: q75, dtype: float64","0    0.065123
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:18:26,"0    0.010408
Name: avg, dtype: float64","0    0.247318
Name: max, dtype: float64","0   -0.024763
Name: med, dtype: float64","0   -0.112338
Name: min, dtype: float64","0   -0.065979
Name: q25, dtype: float64","0    0.067784
Name: q75, dtype: float64","0    0.099814
Name: std, dtype: float64","0    101.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    37.43
Name: peak_distance, dtype: float64",exercise 1,correct,accelerometer
2024-12-10 17:17:52,"0    0.064646
Name: avg, dtype: float64","0    0.930159
Name: max, dtype: float64","0    0.042874
Name: med, dtype: float64","0   -0.050058
Name: min, dtype: float64","0   -0.009748
Name: q25, dtype: float64","0    0.082312
Name: q75, dtype: float64","0    0.135618
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:17:54,"0    0.137062
Name: avg, dtype: float64","0    0.435666
Name: max, dtype: float64","0    0.127869
Name: med, dtype: float64","0   -0.048921
Name: min, dtype: float64","0    0.058617
Name: q25, dtype: float64","0    0.198434
Name: q75, dtype: float64","0    0.109699
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:17:56,"0   -0.033385
Name: avg, dtype: float64","0    0.058322
Name: max, dtype: float64","0   -0.037418
Name: med, dtype: float64","0   -0.068555
Name: min, dtype: float64","0   -0.050722
Name: q25, dtype: float64","0   -0.023462
Name: q75, dtype: float64","0    0.024855
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:17:58,"0   -0.026086
Name: avg, dtype: float64","0    0.066581
Name: max, dtype: float64","0   -0.031538
Name: med, dtype: float64","0   -0.059445
Name: min, dtype: float64","0   -0.043222
Name: q25, dtype: float64","0   -0.014904
Name: q75, dtype: float64","0    0.025414
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:18:00,"0   -0.030556
Name: avg, dtype: float64","0    0.089498
Name: max, dtype: float64","0   -0.035077
Name: med, dtype: float64","0   -0.071006
Name: min, dtype: float64","0   -0.049217
Name: q25, dtype: float64","0   -0.018688
Name: q75, dtype: float64","0    0.03092
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:18:02,"0   -0.005879
Name: avg, dtype: float64","0    0.171581
Name: max, dtype: float64","0   -0.018212
Name: med, dtype: float64","0   -0.050459
Name: min, dtype: float64","0   -0.0338
Name: q25, dtype: float64","0    0.002294
Name: q75, dtype: float64","0    0.04522
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:18:04,"0   -0.002054
Name: avg, dtype: float64","0    0.075076
Name: max, dtype: float64","0   -0.006563
Name: med, dtype: float64","0   -0.070845
Name: min, dtype: float64","0   -0.022346
Name: q25, dtype: float64","0    0.015992
Name: q75, dtype: float64","0    0.033744
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:18:06,"0    0.037015
Name: avg, dtype: float64","0    0.111414
Name: max, dtype: float64","0    0.029534
Name: med, dtype: float64","0   -0.034285
Name: min, dtype: float64","0    0.008103
Name: q25, dtype: float64","0    0.067582
Name: q75, dtype: float64","0    0.037661
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:18:08,"0   -0.060878
Name: avg, dtype: float64","0    0.055398
Name: max, dtype: float64","0   -0.06676
Name: med, dtype: float64","0   -0.081654
Name: min, dtype: float64","0   -0.070602
Name: q25, dtype: float64","0   -0.059357
Name: q75, dtype: float64","0    0.023856
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
2024-12-10 17:18:10,"0   -0.0606
Name: avg, dtype: float64","0    0.000722
Name: max, dtype: float64","0   -0.064258
Name: med, dtype: float64","0   -0.078972
Name: min, dtype: float64","0   -0.068963
Name: q25, dtype: float64","0   -0.059421
Name: q75, dtype: float64","0    0.016194
Name: std, dtype: float64","0    77.0
Name: num_peaks, dtype: float64","0    0.0
Name: peak_prominence, dtype: float64","0    48.710526
Name: peak_distance, dtype: float64",exercise 1,correct,gyroscope
